document_id,paragraph_id,sentence_id,sentence_text,term
doc_agropoli_09,1,0,Unione dei Comuni “Alto Cilento”,
doc_agropoli_09,1,1,Agropoli – Capaccio Paestum - Cicerale – Giungano - Laureana C.to – Lustra – Ogliastro Cto – Perdifumo - Prignano C.to - Rutino – Torchiara,
doc_agropoli_09,1,2,Centrale Unica di Committenza,
doc_agropoli_09,1,3,"Piazza della Repubblica, 384043 - Agropoli (SA)",
doc_agropoli_09,1,4,mail:altocilento.cuc@gmail.com - pec: altocilento.cuc@pec.it,
doc_agropoli_09,3,0,BANDO DI GARA ,
doc_agropoli_09,3,1,"AFFIDAMENTO DEL “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO",raccolta
doc_agropoli_09,3,1,"AFFIDAMENTO DEL “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO", recupero
doc_agropoli_09,3,1,"AFFIDAMENTO DEL “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO", servizio di raccolta
doc_agropoli_09,3,1,"AFFIDAMENTO DEL “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO", servizio di spazzamento
doc_agropoli_09,3,1,"AFFIDAMENTO DEL “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO", smaltimento
doc_agropoli_09,3,1,"AFFIDAMENTO DEL “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO", trasporto
doc_agropoli_09,3,2,Identificazione gara ANAC: 8480056 - CIG: 913437872E - CUP: G81E22000020004,
doc_agropoli_09,4,1,"Con Determina a contrarre n.4 del 08.03.2022 del Responsabile dell'Ufficio Igiene, esecutive ai sensi di legge, il l'Unione dei Comuni Paestum Alto Cilento (Stazione Appaltante) ha stabilito di procedere all'affidamento del “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO”.",servizio di raccolta
doc_agropoli_09,4,1,"Con Determina a contrarre n.4 del 08.03.2022 del Responsabile dell'Ufficio Igiene, esecutive ai sensi di legge, il l'Unione dei Comuni Paestum Alto Cilento (Stazione Appaltante) ha stabilito di procedere all'affidamento del “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO”.", servizio di spazzamento
doc_agropoli_09,4,1,"Con Determina a contrarre n.4 del 08.03.2022 del Responsabile dell'Ufficio Igiene, esecutive ai sensi di legge, il l'Unione dei Comuni Paestum Alto Cilento (Stazione Appaltante) ha stabilito di procedere all'affidamento del “SERVIZIO DI SPAZZAMENTO, RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI URBANI ED ASSIMILATI E SERVIZI COMPLEMENTARI DELLA CITTA' DI AGROPOLI” VALEVOLE PER UN QUINQUENNIO”.", trasporto
doc_agropoli_09,4,2,Con Determina n. 16 del 25.03.2022 del Responsabile della CUC (Reg. Gen. n. 39 del 25.03.2022) sono stati approvati gli atti di gara tra i quali il presente Bando.,
doc_agropoli_09,4,4,NB. Per poter partecipare alla procedure di gara l'operatore economico DEVE preliminarmente provvedere alla propria registrazione inserendo i dati richiesti nella sezione “AREA RISERVATA - Registrati”.,
doc_agropoli_09,4,5,La registrazione deve essere fatta una sola volta; per le successive procedure è sufficiente accedere all'AREA RISERVATA inserendo le proprie credenziali attribuite all'atto della PRIMA REGISTRAZIONE.,
doc_agropoli_09,5,0,SEZIONE I – STAZIONE APPALTANTE,
doc_agropoli_09,6,0,I.1) Denominazione e indirizzo ufficiale,
doc_agropoli_09,6,1,- Denominazione: Unione Comuni Paestum Alto Cilento;,
doc_agropoli_09,6,2,- Servizio/Settore/Ufficio responsabile: Ufficio Igiene,
doc_agropoli_09,6,3,"- Indirizzo: Via Roma, 1 – 84076 – Torchiara (SA)",
doc_agropoli_09,6,5,- Centrale Unica di committenza – C.U.C Unione dei Comuni “Paestum Alto Cilento”;,
doc_agropoli_09,6,6,- Responsabile dell'affidamento: Geom. Sergio Lauriana;,
doc_agropoli_09,6,7,- Responsabile unico del procedimento (RUP): dott. Giuseppe Capozzolo;,rup
doc_agropoli_09,6,8,- Posta elettronica certificata (pec): altocilento.cuc@pec.it;;,
doc_agropoli_09,6,9,- Recapiti del RUP: i punti di contatto sopraindicati;,rup
doc_agropoli_09,6,10,"- Chiarimenti sulla presente procedura mediante la proposizione di quesiti scritti da inoltrare mediante piattaforma telematica, almeno 8 (otto) giorni prima della scadenza del termine fissato per la presentazione delle offerte.",
doc_agropoli_09,7,1,"Il disciplinare di gara, Relazione tecnica economica per la gestione integrata dei rifiuti Urbani e Speciali assimilati agli Urbani, Capitolato speciale d'Appalto, MUD, Planimetria generale e modelli, parti integranti e sostanziali del presente bando, sono disponibili, gratuitamente e in modo diretto, scaricandoli dalla piattaforma telematica e dal sito internet dell'Unione Comuni Paestum Alto Cilento; Ulteriori informazioni sono disponibili presso: i punti di contatto sopra indicati.",
doc_agropoli_09,8,0,I.3),
doc_agropoli_09,8,1,Tipo di amministrazione aggiudicatrice e principali settori di attività Ente di diritto pubblico: Unione Comuni Paestum Alto Cilento Principale attività esercitata: Amministrazione pubblica,
doc_agropoli_09,9,0,"SEZIONE II – OGGETTO, LUOGO E TEMPI DI ESECUZIONE DELL'APPALTO",
doc_agropoli_09,10,0,"II.1) Descrizione dell'appalto, natura ed entità dei servizi",
doc_agropoli_09,10,1,Gestione dei servizio integrato di igiene urbana e servizi accessori sul territorio comunale di Agropoli (SA).,servizio integrato di igiene urbana e servizi accessori
