term,cluster
a-porta,1
sistema porta a porta,1
verde porta a porta,1
abbandono,2
abbandono dei rifiuti,2
abbandono di materiali,2
abbandono irregolare dei rifiuti,2
alluminio,3
appalto d'igiene urbana e servizi,4
di raccolta rifiuti,4
di rifiuti urbani,4
rifiuti urbani,4
servizi di raccolta,4
servizio di igiene urbana,4
servizio di raccolta,4
aree attrezzate per la raccolta dei rifiuti differenziati,5
aree di raccolta,5
gestione dei rifiuti,5
raccolta dei rifiuti,5
raccolta differenziata,5
servizi di gestione dei rifiuti,5
servizio di raccolta differenziata,5
aree di sosta temporanea,6
assimilazione dei rifiuti speciali non pericolosi agli urbani,7
gestione dei rifiuti urbani,7
rifiuti speciali,7
servizio di gestione dei rifiuti urbani,7
attrezzature per la raccolta,8
attrezzi voluminosi,9
bacinelle e secchi,10
secco,10
bancali in legno,11
legno,11
beni durevoli,12
bidone,13
bidoni,13
bollettazione,14
bollette,15
bonifica,16
busta,17
calendario,18
calendario di raccolta porta a porta,18
calendario raccolta cam,18
calendario raccolta rifiuti,18
cam,19
centro ambientale mobile,19
carta,20
carta catramata,20
carta del servizio,20
carta della qualità,20
carta e cartone,20
carta oleata per,20
carta/cartone,20
carte di qualità,20
sacchetti di carta puliti,20
cartone pizza,21
cartoni,21
cartone selettivo,22
cassette in legno,23
cassone scarrabile,24
cassonetti,25
cassonetti per il,25
cassonetti stradali,25
ccr,26
centro comunale di raccolta,26
centro comunale di raccolta rifiuti,27
centro di raccolta,27
centro di raccolta rifiuti,27
cer,28
rifiuti cer 20.01.10,28
rifiuti ingombranti codice cer 200307,28
servizio di smaltimento cer 200307,28
cestini portarifiuti,29
cisa,30
classificazione dei rifiuti urbani e speciali,31
codice ambientale,32
compostaggio individuale,33
compostiera,34
conferimenti irregolari,35
conferimento,36
conferimento dei rifiuti,36
conferimento di rifiuti,36
conferimento indifferenziato dei rifiuti urbani e assimilati,36
modalità di conferimento,36
conferire,37
conferire i rifiuti,37
conferita,37
essere conferiti,37
consegnare,38
contenitori per rifiuti urbani ed assimilati,39
contenitori stradali,40
raccolta stradale,40
cumulo,41
dati di raccolta differenziata,42
dei rifiuti liquidi,43
di alberi,44
di fogna,45
di raccolta e trasporto,46
gestore del servizio di raccolta e trasporto,46
raccolta e trasporto,46
"raccolta, trasporto",46
servizio raccolta e trasporto dei rifiuti urbani,46
trasporto,46
di ritiro su,47
ritiro,47
direzione ciclo dei rifiuti e risanamento ambientale,48
disinfestazione,49
"disinfestazione, derattizzazione e sanificazione dei locali",49
divieti di sosta,50
ecocentro,51
ecologia,52
eliminazione,53
farmaci scaduti,54
ferro,55
foglie,56
frazioni cartacee,57
frazioni di rifiuti,58
