term,cluster
rup,1
farmaci,2
ccr,3
conferimento fuori porta,4
porta a porta,4
raccolte porta a porta,4
carta dei servizi,5
coefficienti per la determinazione della parte fissa e parte variabile,6
oli alimentari scaduti,7
oli e grassi vegetali esausti,7
olio alimentare esausto,7
raccolta degli oli esausti,7
recupero degli oli esausti,7
cernite di materiali,8
imballaggi in materiali misti,8
materiale conferito,8
materiale differenziabile,8
materiali conferibili,8
materiali non conferibili,8
spazzamento stradale,9
emissione,10
compostiera domestica,11
pannolini,12
pannoloni,12
calendario raccolta rifiuti,13
bidoni carrellati,14
cartoni,14
cernita,14
conferimento,14
conferire,14
conferisce,14
conferiti,14
essere conferiti,14
gestore,14
guida al conferimento,14
imballaggi,14
indumenti usati,14
modalità di conferimento,14
ritiro,14
tetra pak,14
umido,14
utenza,14
vanno conferiti,14
tari,15
tarsu,15
ingombranti,16
isola ecologica,17
isole ecologiche,17
operatori dell'isola ecologica,17
quota variabile,18
misure di gestione ambientale,19
sistema di gestione ambientale,19
allumino,20
conferimento del rifiuto,21
rifiuto,21
rifiuto indifferenziato,21
secco residuo,22
pap,23
parte variabile,24
contribuente,25
microplastiche,26
secchiello,27
organico,28
raccolta organico,28
rifiuti organici,28
rifiuto organico,28
gestore del servizio di igiene urbana della città,29
servizio di igiene urbana,29
coefficiente proporzionale di produttività kb,30
sacco,31
r2,32
vetro,33
abiti dismessi,34
piano finanziario,35
busta,36
buste,36
stazione ecologica,37
plc,38
abbigliamento,39
frazione conferita,40
frazione non differenziabile,40
frazione secca,40
frazioni,40
centri di raccolta,41
centro di raccolta,41
disciplinare per la gestione dei centri di raccolta comunali,41
gestione del centro di raccolta,41
gestori del centro di raccolta differenziata,41
responsabile del centro di raccolta,41
ufficio ambiente,42
sacchetti,43
sacchetti di carta,43
sacchi,43
servizio di svuotamento,44
depositare,45
materiali ferrosi,46
piano di riorganizzazione del servizio di raccolta rsu,47
rifiuti vegetali,48
ritiro a domicilio,49
modalità di raccolta,50
piano di raccolta,50
raccolta,50
raccolta differenziata,50
servizio di raccolta,50
costi variabili,51
imballaggi in legno,52
legno,52
microdiscariche,53
r3,54
r4,54
r5,54
svuotamento dei carrellati condominiali,55
imballaggi in metallo,56
"lavatrici, lavastoviglie, cucine, scaldabagni",57
contenitori siglati t/f/x,58
inerti,59
rifiuti in metalli,60
pef,61
dichiarazione tari,62
servizio di ecovigilanza,63
servizio ecologia,63
servizio ecologico,63
rifiuti verdi,64
frigoriferi e sistemi per il condizionamento,65
vetro e contenitori in vetro,66
calendario di raccolta,67
autorizzazione unica ambientale,68
codice cer,69
toner e cartucce,70
totale annuale conferito,71
piano tariffario tassa sui rifiuti,72
utenze commerciali,73
ruote gommate,74
alluminio,75
r.a.e.e.,76
rifiuti legnosi,77
uffìcio tari,78
fauna,79
tmb,80
differenzia,81
differenziare,81
differenziata,81
differenziati,81
condizioni igieniche e di decoro,82
ingombranti pericolosi,83
materiale da riciclare,84
frazione verde,85
busta di carta,86
carta - cartone - tetra pak,86
carta e cartone,86
"carta, cartone, cartoncino",86
imballaggi in carta e cartone,86
imballaggi in cartone,86
imballaggi in cartone ondulato e cartoncino,86
"pile portatili, batterie e accumulatori al piombo derivanti dalla manutenzione di veicoli ad uso privato effettuata in proprio dalle utenze domestiche",87
carta,88
percentuale di raccolta differenziata,89
operatore ecologico,90
utenze domestiche,91
utenze non domestiche,91
abbandono di rifiuti non pericolosi e non ingombranti,92
conferimento separato dei rifiuti,92
contenitori adibiti alla raccolta delle frazioni di rifiuti,92
contenitori per la raccolta dei rifiuti urbani,92
depositare i rifiuti,92
disciplina dei centri di raccolta dei rifiuti urbani raccolti in modo differenziato,92
gestione dei rifiuti,92
gestione dei rifiuti urbani,92
gestione dei rifiuti urbani ed assimilati,92
gestore dello spazzamento e lavaggio,92
raccolta domiciliare dei rifiuti,92
rifiuti,92
rifiuti conferibili,92
rifiuti ingombranti,92
rifiuti non ingombranti,92
rifiuti speciali,92
rifiuti urbani pericolosi,92
servizio di gestione integrata dei rifiuti,92
servizio di raccolta dei rifiuti,92
servizio di raccolta e trasporto dei rifiuti urbani,92
servizio integrato gestione rifiuti – raccolta differenziata e servizi complementari,92
servizio rifiuti,92
sistema di raccolta differenziata dei rifiuti porta-a-porta,92
tassa sui rifiuti solidi urbani,92
coefficiente di adattamento per superficie,93
interruzione programmata del servizio,94
contenitori di sostanze pericolose,95
vigilanza igienico-sanitaria,96
raee,97
frazione organica,98
frazione organica umida,98
secco residuale non riciclabile,99
gestore della raccolta e trasporto,100
campane,101
indifferenziato,102
secco indifferenziato,102
prodotti tessili,103
analisi merceologiche,104
campana,105
pile esauste,106
gestore dello spazzamento e lavaggio delle strade,107
potature,108
sacchetto trasparente,109
oli esausti,110
olii esausti,110
punti di conferimento,111
deposito,112
toner,113
sfalci e potature,114
calendario utenze domestiche per la raccolta differenziata,115
tubi fluorescenti ed altri tubi contenenti mercurio,116
utenze turistiche non domestiche,117
raccolta differenziata porta a porta spinto,118
metallo-banda stagnata-alluminio,119
imballaggi in plastica,120
materiali in plastica,120
metalli - plastica,120
"metalli, acciaio, alluminio e banda stagnata",120
plastica,120
plastica e metalli,120
"plastica, acciaio e alluminio",120
busta con legaccio,121
non differenziabile,122
"pannolini, pannoloni e traverse",123
ka,124
banda stagnata,125
grassi animali,126
latta,127
spazzatura,128
macerie provenienti da lavori edili,129
lattine in alluminio con il simbolo al,130
pneumatici,131
r1,132
organico e bioplastiche compostabili,133
multimateriale,134
utente,135
utenti,135
kb,136
tariffe,137
raccolta/ritiro,138
servizio ingombranti,139
bidone,140
